Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
NoticiasYa Kansas,NoticiasUnivisionKansas,182691548439378,68663,2020-08-28 14:15:01 EDT,Link,7,3,0,0,0,2,0,0,0,,0,0,0,N/A,https://www.facebook.com/NoticiasUnivisionKansas/posts/4618899811485174,"Biden está tomando todas las medidas posibles para enamorar a los latinos. En uno de sus últimos comerciales, utiliza una canción de Alejandro Fernández. Te mostramos el video.",http://notiya.info/k7nrh,https://noticiasya.com/2020/08/28/al-ritmo-de-rancheras-joe-biden-busca-conquistar-a-latinos/,,This is a re-share of a post,,,,12,12
Telemundo 47,Telemundo47,254932813632,993695,2020-10-04 17:50:09 EDT,Link,11,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/Telemundo47/posts/10158616606183633,"El debate presidencial fue visto por millones de personas y analizado por cientos de analistas por todo el país, pero ¿qué opinaron los demócratas de nuestra área sobre el debate? Te contamos aquí. https://trib.al/eiliuNK:=:https://www.telemundo47.com/local/analisis-del-debate-presidencial-segun-un-asambleista-democrata/2102452/",https://trib.al/eiliuNK,https://www.telemundo47.com/local/analisis-del-debate-presidencial-segun-un-asambleista-democrata/2102452/,,Análisis del debate presidencial según un demócrata de nuestra área,¿Cómo se desempeñaron el presidente Trump y el exvicepresidente Biden en el debate presidencial? Allan Villafaña se sienta con un demócrata de nuestra área y cons cuenta los detalles.,,,12,12
Telemundo 47,Telemundo47,254932813632,994162,2020-08-20 00:18:15 EDT,Link,7,1,1,3,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/Telemundo47/posts/10158510055338633,Era 1986 y 38 chicas de raza negra soñaban con seguir los pasos de las fundadoras de su hermandad universitaria: mujeres pioneras y capaces de cambiar su realidad. https://trib.al/qEWtKlL:=:https://www.telemundo47.com/noticias/decision/una-sororidad-de-mujeres-negras-de-la-que-forma-parte-kamala-harris-ahora-impulsa-sus-aspiraciones/2086743/,https://trib.al/qEWtKlL,https://www.telemundo47.com/noticias/decision/una-sororidad-de-mujeres-negras-de-la-que-forma-parte-kamala-harris-ahora-impulsa-sus-aspiraciones/2086743/,,Una sororidad de mujeres negras de la que forma parte Kamala Harris ahora impulsa sus aspiraciones,Era 1986 y 38 chicas de raza negra soñaban con seguir los pasos de las fundadoras de su hermandad universitaria: mujeres pioneras y capaces de cambiar su realidad.,,,12,12
Telemundo Houston,TelemundoHouston,105894316664,874673,2020-10-15 14:54:35 EDT,Native Video,7,2,2,0,0,1,0,0,0,original,692,701,0,00:00:15,https://www.facebook.com/TelemundoHouston/posts/10158748418971665,📣 Trump o Biden: los latinos piden - un especial de Noticias Telemundo para analizar todos los temas que no se hablaron en los debates. 🇺🇸 #Decision2020 #USAtuVoz Las elecciones de noviembre son decisivas para la comunidad latina y por eso te decimos #LasCosasComoSon. 🗓 ESTA NOCHE ⏰ 9PM 📺 Al aire en #TelemundoHouston y en plataformas digitales https://www.telemundohouston.com/noticias/decision:=:https://www.telemundohouston.com/noticias/decision/,https://www.facebook.com/TelemundoHouston/videos/3408121235948975/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FTelemundoHouston%2Fvideos%2F3408121235948975%2F,,Trump o Biden: los latinos piden,,,,12,12
Telemundo Houston,TelemundoHouston,105894316664,870428,2020-08-21 06:22:54 EDT,Link,11,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/TelemundoHouston/posts/10158624320456665,"En un video emitido durante la Convención Nacional Demócrata, que transcurrió de manera virtual. https://trib.al/6aTIVBJ:=:https://www.telemundohouston.com/noticias/decision/lo-que-dijeron-ashley-y-hunter-biden-antes-del-discurso-de-su-padre/2124786/",https://trib.al/6aTIVBJ,https://www.telemundohouston.com/noticias/decision/lo-que-dijeron-ashley-y-hunter-biden-antes-del-discurso-de-su-padre/2124786/,,Un emotivo momento: lo que dijeron Ashley y Hunter Biden antes del discurso de su padre,"En un video emitido durante la Convención Nacional Demócrata, que transcurrió de manera virtual.",,,12,12
Telemundo 62,Telemundo62,140383652640141,264993,2020-08-21 01:16:09 EDT,Link,7,3,0,1,0,1,0,0,0,,0,0,0,N/A,https://www.facebook.com/Telemundo62/posts/3605498266128645,Biden tuvo su noche soñada. Te contamos los detalles. https://trib.al/Hj3V93s:=:https://www.telemundo62.com/noticias/decision/cierre-convencion-nacional-democrata-elecciones-estados-unidos/2070064/,https://trib.al/Hj3V93s,https://www.telemundo62.com/noticias/decision/cierre-convencion-nacional-democrata-elecciones-estados-unidos/2070064/,,"Con duras críticas a Trump, Biden acepta la nominación del Partido Demócrata","El exvicepresidente cerró la última noche de la Convención partidaria, la primera que se hizo de manera virtual en la historia de EEUU.",,,12,12
Telemundo Chicago,TelemundoChicago,22918318372,543878,2020-10-04 08:52:08 EDT,Link,10,1,0,0,1,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/TelemundoChicago/posts/10158773055783373,"Mike Pence y Kamala Harris se enfrentarán cara a cara por primera vez con este miércoles en Utah, pero el protocolo por coronavirus será más estricto. https://trib.al/KQ6yYnF:=:https://www.telemundochicago.com/noticias/decision/primer-debate-entre-pence-y-harris-ambos-estaran-distanciados-a-12-pies/2124023/",https://trib.al/KQ6yYnF,https://www.telemundochicago.com/noticias/decision/primer-debate-entre-pence-y-harris-ambos-estaran-distanciados-a-12-pies/2124023/,,Primer debate entre Pence y Harris: ambos estarán distanciados a 12 pies,,,,12,12
Telemundo Chicago,TelemundoChicago,22918318372,543894,2020-10-02 00:21:44 EDT,Link,8,1,1,0,0,2,0,0,0,,0,0,0,N/A,https://www.facebook.com/TelemundoChicago/posts/10158767335053373,"Por su parte, Joe Biden anunció que sí participará en los próximos encuentros cara a cara con Trump. https://trib.al/HcheeuX:=:https://www.telemundochicago.com/noticias/decision/trump-no-estaria-de-acuerdo-con-el-cambio-de-reglas-para-los-proximos-debates-con-biden/2123611/",https://trib.al/HcheeuX,https://www.telemundochicago.com/noticias/decision/trump-no-estaria-de-acuerdo-con-el-cambio-de-reglas-para-los-proximos-debates-con-biden/2123611/,,Trump no estaría de acuerdo con el cambio de reglas para los próximos debates con Biden,,,,12,12
Telemundo Chicago,TelemundoChicago,22918318372,543905,2020-10-01 04:31:37 EDT,Link,2,3,0,0,0,0,0,7,0,,0,0,0,N/A,https://www.facebook.com/TelemundoChicago/posts/10158765167373373,"“Proud Boys, den un paso atrás y permanezcan preparados”, dijo el mandatario en el primer debate presidencial con el candidato demócrata, Joe Biden. https://trib.al/175V4Zn:=:https://www.telemundochicago.com/noticias/la-casa-blanca/trump-dice-no-conocer-a-grupo-supremacista-al-que-exhorto-en-debate-a-permanecer-preparado/2123336/",https://trib.al/175V4Zn,https://www.telemundochicago.com/noticias/la-casa-blanca/trump-dice-no-conocer-a-grupo-supremacista-al-que-exhorto-en-debate-a-permanecer-preparado/2123336/,,Trump dice no conocer a grupo supremacista al que exhortó en debate a “permanecer preparado”,"“Proud Boys, den un paso atrás y permanezcan preparados”, dijo el mandatario en el primer debate presidencial con el candidato demócrata, Joe Biden.",,,12,12
Agencia EFE,AgenciaEFEnoticias,182338378632175,52473,2020-08-20 02:51:37 EDT,Link,6,1,2,0,0,3,0,0,0,,0,0,0,N/A,https://www.facebook.com/AgenciaEFEnoticias/posts/1435334786665855,"La excandidata demócrata a la Casa Blanca en 2016, Hillary Clinton, advirtió este miércoles a los estadounidenses de que sus vidas dependen de que acudan a las urnas este próximo noviembre a votar por Joe Biden.",https://www.efe.com/efe/usa/portada/hillary-clinton-voten-como-si-nuestras-vidas-dependieran-de-ello/50000064-4323373,,,"Hillary Clinton: ""Voten como si nuestras vidas dependieran de ello""","La excandidata demócrata a la Casa Blanca en 2016, Hillary Clinton, advirtió este miércoles a los estadounidenses de que sus vidas dependen de que acudan a las urnas este próximo noviembre a votar por",,,12,12
NoticiasYa Nevada,noticiasunivisionnevada,246243391130,73352,2020-10-22 22:05:00 EDT,Native Video,7,3,0,0,0,2,0,0,0,share,758,30860,0,01:40:17,https://www.facebook.com/noticiasunivisionnevada/posts/10158528471891131,Seguimos #EnVivo con el debate presidencial entre Donald Trump y Joe Biden. En breve comienzan a discutir inmigración.,https://www.facebook.com/politicaya/videos/461891534784840/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fpoliticaya%2Fvideos%2F461891534784840%2F,,Política Ya,#EnVivo Esta noche Joe Biden y Donald Trump se enfrentan cara a cara por última vez en debate presidencial. Sigue la cobertura de #PolíticaYa en noticiasya.com #Destino2020,,,12,12
NoticiasYa Nevada,noticiasunivisionnevada,246243391130,72769,2020-08-22 22:30:07 EDT,Link,7,3,0,1,0,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/noticiasunivisionnevada/posts/10158363559106131,#EstaSemana: Joe Biden aceptó la nominación presidencial demócrata,https://noticiasya.com/2020/08/20/tras-5-decadas-de-espera-biden-aceptara-la-nominacion-presidencial/,,,This is a re-share of a post,,,,12,12
